x,y,Side,Balls,Strikes
0.838998564939,2.5,L,0,0
0.838988536632,2.54519661293,L,0,0
0.83895845164,2.56876757244,L,0,0
0.838908309744,2.58790301239,L,0,0
0.83883811058,2.60462751824,L,0,0
0.838747853641,2.61976015998,L,0,0
0.83863753827,2.63373344479,L,0,0
0.838507163666,2.64681008543,L,0,0
0.83835672888,2.65916436991,L,0,0
0.838186232816,2.67091920782,L,0,0
0.837995674228,2.68216526347,L,0,0
0.837785051722,2.69297176667,L,0,0
0.837554363752,2.70339304889,L,0,0
0.837303608622,2.71347271001,L,0,0
0.837032784483,2.72324639039,L,0,0
0.83674188933,2.7327436811,L,0,0
0.836430921005,2.74198947967,L,0,0
0.836099877191,2.75100497676,L,0,0
0.835748755414,2.75980838991,L,0,0
0.835377553037,2.76841551969,L,0,0
0.834986267263,2.77684017812,L,0,0
0.834574895129,2.78509452379,L,0,0
0.834143433507,2.79318932725,L,0,0
0.8336918791,2.80113418379,L,0,0
0.833220228439,2.80893768591,L,0,0
0.832728477882,2.81660756427,L,0,0
0.832216623611,2.82415080415,L,0,0
0.831684661629,2.83157374227,L,0,0
0.831132587757,2.83888214795,L,0,0
0.830560397634,2.84608129162,L,0,0
0.829968086708,2.853176003,L,0,0
0.829355650238,2.86017072078,L,0,0
0.828723083289,2.86706953532,L,0,0
0.828070380727,2.87387622549,L,0,0
0.827397537218,2.88059429063,L,0,0
0.826704547223,2.88722697841,L,0,0
0.825991404994,2.89377730919,L,0,0
0.82525810457,2.90024809745,L,0,0
0.824504639773,2.90664197062,L,0,0
0.823731004203,2.91296138582,L,0,0
0.822937191237,2.91920864464,L,0,0
0.822123194018,2.92538590639,L,0,0
0.821289005456,2.93149519985,L,0,0
0.820434618221,2.93753843384,L,0,0
0.819560024737,2.9435174067,L,0,0
0.818665217178,2.94943381484,L,0,0
0.817750187464,2.95528926043,L,0,0
0.81681492725,2.9610852584,L,0,0
0.815859427927,2.96682324273,L,0,0
0.814883680612,2.9725045722,L,0,0
0.813887676142,2.97813053564,L,0,0
0.812871405071,2.98370235668,L,0,0
0.811834857659,2.98922119813,L,0,0
0.810778023869,2.99468816595,L,0,0
0.809700893356,3.00010431293,L,0,0
0.808603455466,3.00547064204,L,0,0
0.807485699222,3.01078810955,L,0,0
0.806347613321,3.01605762783,L,0,0
0.805189186127,3.02128006808,L,0,0
0.804010405658,3.02645626264,L,0,0
0.802811259583,3.03158700735,L,0,0
0.80159173521,3.03667306357,L,0,0
0.80035181948,3.04171516017,L,0,0
0.799091498956,3.04671399527,L,0,0
0.797810759816,3.05167023797,L,0,0
0.796509587843,3.05658452987,L,0,0
0.795187968412,3.06145748655,L,0,0
0.793845886486,3.06628969892,L,0,0
0.792483326601,3.07108173448,L,0,0
0.791100272857,3.07583413851,L,0,0
0.789696708908,3.08054743518,L,0,0
0.788272617952,3.08522212861,L,0,0
0.786827982713,3.0898587038,L,0,0
0.78536278544,3.09445762762,L,0,0
0.783877007885,3.09901934958,L,0,0
0.782370631295,3.10354430271,L,0,0
0.780843636401,3.10803290431,L,0,0
0.779296003401,3.11248555664,L,0,0
0.77772771195,3.11690264762,L,0,0
0.776138741141,3.12128455147,L,0,0
0.774529069497,3.12563162931,L,0,0
0.772898674954,3.12994422972,L,0,0
0.771247534844,3.1342226893,L,0,0
0.76957562588,3.13846733314,L,0,0
0.767882924142,3.14267847537,L,0,0
0.76616940506,3.14685641956,L,0,0
0.764435043396,3.15100145917,L,0,0
0.762679813227,3.15511387796,L,0,0
0.760903687926,3.15919395039,L,0,0
0.759106640148,3.16324194201,L,0,0
0.757288641806,3.16725810976,L,0,0
0.755449664053,3.17124270235,L,0,0
0.753589677263,3.17519596055,L,0,0
0.751708651009,3.17911811754,L,0,0
0.749806554043,3.18300939913,L,0,0
0.747883354274,3.18687002409,L,0,0
0.745939018744,3.19070020442,L,0,0
0.743973513605,3.19450014555,L,0,0
0.741986804097,3.19827004662,L,0,0
0.739978854522,3.20201010069,L,0,0
0.737949628216,3.20572049498,L,0,0
0.735899087528,3.20940141105,L,0,0
0.73382719379,3.21305302503,L,0,0
0.731733907289,3.21667550777,L,0,0
0.729619187237,3.22026902508,L,0,0
0.727482991746,3.22383373786,L,0,0
0.725325277792,3.22736980227,L,0,0
0.723146001188,3.23087736993,L,0,0
0.720945116547,3.23435658801,L,0,0
0.718722577254,3.23780759946,L,0,0
0.716478335426,3.24123054306,L,0,0
0.714212341878,3.24462555363,L,0,0
0.711924546089,3.24799276213,L,0,0
0.709614896159,3.25133229578,L,0,0
0.707283338773,3.25464427819,L,0,0
0.704929819159,3.25792882949,L,0,0
0.702554281045,3.26118606641,L,0,0
0.70015666662,3.2644161024,L,0,0
0.697736916482,3.26761904775,L,0,0
0.695294969597,3.27079500967,L,0,0
0.692830763249,3.2739440924,L,0,0
0.69034423299,3.27706639727,L,0,0
0.687835312589,3.28016202283,L,0,0
0.685303933978,3.28323106492,L,0,0
0.682750027198,3.28627361673,L,0,0
0.680173520341,3.28928976892,L,0,0
0.677574339492,3.29227960966,L,0,0
0.674952408664,3.29524322473,L,0,0
0.672307649739,3.29818069756,L,0,0
0.669639982401,3.30109210935,L,0,0
0.666949324066,3.30397753907,L,0,0
0.664235589811,3.30683706359,L,0,0
0.661498692302,3.3096707577,L,0,0
0.658738541719,3.31247869416,L,0,0
0.655955045672,3.3152609438,L,0,0
0.653148109123,3.31801757556,L,0,0
0.6503176343,3.32074865652,L,0,0
0.647463520605,3.32345425199,L,0,0
0.644585664527,3.32613442551,L,0,0
